Asset       Portfolio   Price t0    Price t1    Action   FV No Action  FV Action   
AAPL#0      True        129         159         NONE     15900000      15900000    
ADBE#0      True        503         411         SELL     41100000      50300000    
AMZN#0      True        169         135         SELL     13500000      16900000    
BABA#0      True        222         87          SELL     8700000       22200000    
BASFY#0     True        16          9           SELL     900000        1600000     
BASFY#1     True        16          9           SELL     900000        1600000     
BASFY#10    True        16          9           SELL     900000        1600000     
BASFY#11    True        16          9           SELL     900000        1600000     
BASFY#12    True        16          9           SELL     900000        1600000     
BASFY#13    False       16          9           NONE     900000        900000      
BASFY#14    False       16          9           NONE     900000        900000      
BASFY#2     False       16          9           NONE     900000        900000      
BASFY#3     False       16          9           NONE     900000        900000      
BASFY#4     False       16          9           NONE     900000        900000      
BASFY#5     False       16          9           NONE     900000        900000      
